User1,User2,Interaction_Type,Timestamp,Message
Charlie,Eve,Follow,1/2/2025 12:36,"Very useful, thanks!"
Eve,Alice,Mention,1/3/2025 7:09,Amazing content!
Alice,Charlie,Like,1/3/2025 1:32,Happy to connect.
Jack,Charlie,Mention,1/2/2025 9:36,Happy to connect.
Ivy,David,Follow,1/1/2025 9:59,Excellent content!
Bob,Eve,Comment,1/2/2025 22:58,Interesting thought.
Bob,Grace,Like,1/3/2025 14:32,Interesting thought.
Charlie,Frank,Mention,1/3/2025 17:51,Check this out!
Eve,Bob,Mention,1/2/2025 9:06,Love it!
Ivy,Jack,Follow,1/1/2025 17:55,Nice insight!
Bob,Grace,Follow,1/1/2025 18:46,Thanks for sharing!
Grace,Bob,Comment,1/3/2025 20:26,Love it!
Frank,David,Follow,1/2/2025 18:06,Thanks for sharing!
Alice,Grace,Follow,1/3/2025 6:30,Thanks for sharing!
